Country Name,Series Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,"GNI per capita, PPP (current international $)",5950,6130,6810,7130,7680,6960,6730,6860,6550,6370
Benin,"GNI per capita, PPP (current international $)",2350,2410,2480,2650,2820,2860,2980,3010,3200,3390
Botswana,"GNI per capita, PPP (current international $)",12680,13940,13390,14070,15830,15060,15840,15900,16530,17120
Burkina Faso,"GNI per capita, PPP (current international $)",1460,1520,1580,1640,1620,1640,1810,1970,2080,2180
Burundi,"GNI per capita, PPP (current international $)",660,680,690,740,780,840,800,770,780,790
Cabo Verde,"GNI per capita, PPP (current international $)",5440,5730,5570,5590,5460,5770,6100,6410,6860,7320
Cameroon,"GNI per capita, PPP (current international $)",2650,2750,2810,2950,3160,3210,3350,3490,3620,3720
Central African Republic,"GNI per capita, PPP (current international $)",960,1020,1110,750,730,800,860,960,1030,1060
Chad,"GNI per capita, PPP (current international $)",1760,1750,1690,1500,1600,1760,1630,1570,1590,1620
Comoros,"GNI per capita, PPP (current international $)",2250,2340,2510,2640,2720,2720,2880,3050,3160,3200
"Congo, Dem. Rep.","GNI per capita, PPP (current international $)",610,640,630,690,780,840,940,1030,1080,1110
"Congo, Rep.","GNI per capita, PPP (current international $)",4970,4890,5990,5930,6020,4610,3670,3650,3430,3140
Cote d'Ivoire,"GNI per capita, PPP (current international $)",2430,2310,2540,2700,3050,4550,4620,4690,4960,5290
Equatorial Guinea,"GNI per capita, PPP (current international $)",19350,22180,24910,23770,22910,18130,15850,16600,15980,14070
Eritrea,"GNI per capita, PPP (current international $)",1470,1610,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,"GNI per capita, PPP (current international $)",7380,7570,7730,8330,8420,8470,8240,7840,8130,8080
Ethiopia,"GNI per capita, PPP (current international $)",1020,1130,1210,1280,1510,1650,1870,2010,2140,2300
Gabon,"GNI per capita, PPP (current international $)",12890,13490,13820,13650,14570,13480,13180,14060,14110,14320
"Gambia, The","GNI per capita, PPP (current international $)",2390,2170,2150,2080,1980,2020,2030,2030,2170,2280
Ghana,"GNI per capita, PPP (current international $)",2920,3270,3590,5150,5280,5050,4800,4860,5220,5480
Guinea,"GNI per capita, PPP (current international $)",1640,1710,1770,1720,1750,1790,2040,2410,2470,2540
Guinea-Bissau,"GNI per capita, PPP (current international $)",1330,1450,1360,1340,1430,1640,1790,1930,1880,2060
Kenya,"GNI per capita, PPP (current international $)",2300,2440,2520,2740,2980,3320,3580,3970,4230,4420
Lesotho,"GNI per capita, PPP (current international $)",2770,2740,2700,2940,3120,3440,3400,3030,3050,3060
Liberia,"GNI per capita, PPP (current international $)",930,1040,1060,1210,1240,1180,1260,1380,1330,1320
Madagascar,"GNI per capita, PPP (current international $)",1510,1530,1490,1490,1520,1500,1550,1540,1600,1620
Malawi,"GNI per capita, PPP (current international $)",1010,1050,1010,1080,1050,980,1020,1420,1480,1550
Mali,"GNI per capita, PPP (current international $)",1720,1760,1700,1750,1860,1990,2130,2170,2270,2330
Mauritania,"GNI per capita, PPP (current international $)",4040,4120,4140,4350,4130,4080,4610,5000,5140,5350
Mauritius,"GNI per capita, PPP (current international $)",15560,16340,17570,19240,19920,20860,22390,23540,25460,26790
Mozambique,"GNI per capita, PPP (current international $)",930,1000,1030,1080,1130,1270,1330,1250,1290,1310
Namibia,"GNI per capita, PPP (current international $)",8060,8590,8970,9710,10410,10620,10220,9990,10020,10010
Niger,"GNI per capita, PPP (current international $)",1120,1140,1200,1170,1190,1200,1190,1210,1280,1330
Nigeria,"GNI per capita, PPP (current international $)",4450,4650,4740,4970,5320,5280,5120,5030,5040,5180
Rwanda,"GNI per capita, PPP (current international $)",1340,1440,1470,1520,1670,1770,1830,1910,2060,2240
Sao Tome and Principe,"GNI per capita, PPP (current international $)",2890,3010,2900,3350,3880,3820,3900,3940,4090,4160
Senegal,"GNI per capita, PPP (current international $)",2630,2630,2690,2700,2780,2910,3000,3110,3300,3410
Seychelles,"GNI per capita, PPP (current international $)",18350,19500,20350,21200,22430,22610,23720,25220,26680,27630
Sierra Leone,"GNI per capita, PPP (current international $)",1150,1190,1450,1740,1750,1570,1420,1590,1580,1770
Somalia,"GNI per capita, PPP (current international $)",NA,NA,NA,680,730,820,860,860,880,900
South Africa,"GNI per capita, PPP (current international $)",11470,11860,11730,12120,12190,12240,12240,12320,12520,12640
South Sudan,"GNI per capita, PPP (current international $)",NA,1630,1460,1980,1280,1080,NA,NA,NA,NA
Sudan,"GNI per capita, PPP (current international $)",3260,3430,3590,3510,4450,4320,4460,4270,4360,4140
Tanzania,"GNI per capita, PPP (current international $)",2050,2190,2070,2160,2210,2300,2420,2470,2620,2810
Togo,"GNI per capita, PPP (current international $)",1140,1280,1230,1280,1340,1440,1970,2010,2120,2220
Uganda,"GNI per capita, PPP (current international $)",2050,2220,1970,1970,2040,2090,2050,2030,2110,2220
Zambia,"GNI per capita, PPP (current international $)",2970,3160,3360,3430,3470,3360,3300,3330,3550,3560
Zimbabwe,"GNI per capita, PPP (current international $)",1610,1800,2070,2310,2360,2410,2560,3210,3370,3100
