Country Name,"Country Code","Series Name","Series Code","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
Afghanistan,"AFG","GNI (current US$)","NY.GNP.MKTP.CD","15884609986.5283","17785698870.9887","19938663918.9461","20216694880.4724","20494754799.9192","19307190568.0691","18297097175.3722","19000254382.5096","18240838101.739","19098305631.2786"
Albania,"ALB","GNI (current US$)","NY.GNP.MKTP.CD","11807765688.1544","12894104016.2227","12228065466.1217","12996539294.3261","13349419700.4171","11521808375.0854","12053832974.203","13051480688.4971","15137993151.167","15198661275.1113"
Algeria,"DZA","GNI (current US$)","NY.GNP.MKTP.CD","160761621810.556","197969464434.814","206411460482.872","205600314482.842","208874396554.934","161667252615.417","158474001558.801","167558973804.439","170507068128.837","167568133680.09"
American Samoa,"ASM","GNI (current US$)","NY.GNP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"AND","GNI (current US$)","NY.GNP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"AGO","GNI (current US$)","NY.GNP.MKTP.CD","75712633817.0538","102092364937.169","117631104835.128","126809806035.747","136862298383.356","110286109906.073","95850167792.3992","114618206700.981","93523683283.3905","81900890781.2989"
Antigua and Barbuda,"ATG","GNI (current US$)","NY.GNP.MKTP.CD","1120979666.66667","1102571925.92593","1160321814.81481","1142788111.11111","1188978481.48148","1252478555.55556","1339483000","1389228037.03704","1527993259.25926","1581477851.85185"
Argentina,"ARG","GNI (current US$)","NY.GNP.MKTP.CD","409079888900.219","515090214471.667","532228535071.924","538860312670.019","514705826245.374","583505276663.537","545329417130.815","627251051857.487","506152916906.923","434037404777.55"
Armenia,"ARM","GNI (current US$)","NY.GNP.MKTP.CD","9718566137.71057","10502184909.0834","11042356185.4721","11804012824.1465","12131728948.9464","10981745196.8255","10791285342.4912","11932816382.7474","12658312508.8118","13798304656.5004"
Aruba,"ABW","GNI (current US$)","NY.GNP.MKTP.CD","2250223463.68715","2302793296.08939","2418547486.03352","2563268715.0838","2688000000","2838156424.58101","2848441340.78212","2921759553.07263","2991584752.18033","NA"
Australia,"AUS","GNI (current US$)","NY.GNP.MKTP.CD","1103064388267.42","1341845607808.34","1499484429779.34","1537134502923.98","1429194895804.65","1323095931441.88","1178298151113.7","1290877140055.81","1383829935663.9","1347404520097.27"
Austria,"AUT","GNI (current US$)","NY.GNP.MKTP.CD","395170908981.876","432573889519.503","409838651404.764","431228759906.245","442578740324.175","378058128962.087","395538833552.533","412327657599.266","450492610615.287","443403031107.45"
