Country Name,Series Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,"Foreign direct investment, net inflows (BoP, current US$)",-3227211182,-3023770966,-1464627991,-7120017424,3657514667,10028215163,-179517618.9,-7397295409,-6456076413,-4098478748
Benin,"Foreign direct investment, net inflows (BoP, current US$)",53507087.74,161302390.8,281548556.3,360343380.3,405737328.6,149755663.3,131790853.8,200902719.3,194073683.2,218207871.7
Botswana,"Foreign direct investment, net inflows (BoP, current US$)",218379837.6,293208060.5,146084155.2,67136806.16,515184471,378554181.5,142522598.3,260575129.4,285955061.9,93607130.03
Burkina Faso,"Foreign direct investment, net inflows (BoP, current US$)",38870701.36,143845512.3,329281976,490403410.5,357296974.3,231901703.7,390622353.4,2572690.322,268414907.9,162970140.3
Burundi,"Foreign direct investment, net inflows (BoP, current US$)",780582.0036,3354999.181,604919.6515,116727136.5,81747197.23,49622865.77,55420.35666,316473.4494,983747.125,1044960.501
Cabo Verde,"Foreign direct investment, net inflows (BoP, current US$)",116200563.6,102246382.2,128009964.8,89297444,180589795.4,96071472.84,126312006.1,111711633.7,112695606.4,104091294.1
Cameroon,"Foreign direct investment, net inflows (BoP, current US$)",536265313.2,653266626.6,527363935.6,547404749.8,725854540.9,694336734.9,663893595.2,814458940.9,765092012.8,1024779238
Central African Republic,"Foreign direct investment, net inflows (BoP, current US$)",61520000,36908455.89,70035157.33,1852792.612,3475007.991,3000000,7256090.484,6888751.401,18003535.39,25601157.42
Chad,"Foreign direct investment, net inflows (BoP, current US$)",313000000,281900000,579793037.4,520200751.3,-675545915.4,559642022.5,244682121,363381636.4,460890506,566638950.9
Comoros,"Foreign direct investment, net inflows (BoP, current US$)",8350406.722,23118440.54,10375197.46,4231644.417,4684558.675,4936699.51,3569823.73,3919473.025,5672348.129,3677361.421
"Congo, Dem. Rep.","Foreign direct investment, net inflows (BoP, current US$)",2742300000,1596024304,2891607809,1697585831,1499572152,1165720010,932374669.4,1047979483,1407563588,1350994226
"Congo, Rep.","Foreign direct investment, net inflows (BoP, current US$)",1520744891,298288001.2,-69253909.37,1878325499,2887256932,4278118365,50574345.34,4416953734,4315250903,3366085029
Cote d'Ivoire,"Foreign direct investment, net inflows (BoP, current US$)",358468317.3,301972462.5,330255520.7,407592122.1,439356961.2,494408755.8,577871524.2,975014998.8,620330654.4,848881139.4
Equatorial Guinea,"Foreign direct investment, net inflows (BoP, current US$)",2734000000,1975000000,985256411.5,582948701.9,167875182.6,233325072.8,53998812.9,304827249.5,396077778.6,452287114.4
Eritrea,"Foreign direct investment, net inflows (BoP, current US$)",91000000,39000000,41358000,43859000,46511000,49323000,52305000,55468000,61015000,67116000
Eswatini,"Foreign direct investment, net inflows (BoP, current US$)",135660413.7,98708321.72,26480002.33,81790158.4,25782635.17,31498094.37,26852077.65,-57647593.39,31130826.66,127970922
Ethiopia,"Foreign direct investment, net inflows (BoP, current US$)",288271568.3,628624806,278562822.2,1343876024,1855052154,2626517918,4142937496,4017159565,3360419369,2548743427
Gabon,"Foreign direct investment, net inflows (BoP, current US$)",523939106.2,1123536919,677327365.5,324032442.4,1263109047,41707702.33,1243660160,1314029330,1379070811,1553136883
"Gambia, The","Foreign direct investment, net inflows (BoP, current US$)",37140887.81,36077136.08,41183457.77,68340322.38,23014092.04,71976051.7,69830172.21,64338516.04,81805006.6,71083305.87
Ghana,"Foreign direct investment, net inflows (BoP, current US$)",2527350000,3247588000,3294520000,3227000000,3363389444,3192320531,3485333369,3254990000,2989035000,3879831470
Guinea,"Foreign direct investment, net inflows (BoP, current US$)",101350000,956060000,605560000,190000,-73758603.66,53272458.42,1618447260,577590000,352760000,44400000
Guinea-Bissau,"Foreign direct investment, net inflows (BoP, current US$)",26240200,25024047.39,6624917.193,19639703.8,28852727.69,18575499.45,14221700,15691197.95,20563818.22,71658680.34
Kenya,"Foreign direct investment, net inflows (BoP, current US$)",178064198.6,1450460112,1380167160,1118819097,820934459.3,619719962.3,678803417,1266137283,1625921131,1332436904
Lesotho,"Foreign direct investment, net inflows (BoP, current US$)",9512771.55,61173319.21,56653435.23,50429031.34,94459059.36,206514459.9,79234548.91,42168784.11,40874071.93,35732593.41
Liberia,"Foreign direct investment, net inflows (BoP, current US$)",2064680994,2086006933,2309981241,1998675366,501870828.6,232679832.5,311699760.3,247842983,129129754.8,86681700.46
Madagascar,"Foreign direct investment, net inflows (BoP, current US$)",912287179.8,815534454.5,814789934.7,565848886,372872463.3,328059305.6,540842779.8,464856589.6,612036371.4,474311425.4
Malawi,"Foreign direct investment, net inflows (BoP, current US$)",97010558.69,812751769.8,-8885976.219,451362406.6,598086538.1,287746689.2,115700000,90200000,101464222,98422743.26
Mali,"Foreign direct investment, net inflows (BoP, current US$)",371569832.6,556147161.6,397865237.2,307853389.3,144023010.6,275414753,356234602.7,559362392.1,467067198.1,493823353.8
Mauritania,"Foreign direct investment, net inflows (BoP, current US$)",130528391.3,588749564.2,1386098851,1126004760,502589833.8,501726765.7,271134845,588217194.8,772890477.2,-883561115.8
Mauritius,"Foreign direct investment, net inflows (BoP, current US$)",429941788.7,433331010.9,589018302.8,293369157.1,455562151.8,216455188.3,378764432.3,479995890.3,371518185.9,472302807.1
Mozambique,"Foreign direct investment, net inflows (BoP, current US$)",1258453097,3663937118,5635092659,6697422432,4998799334,3868353885,3128149929,2319071971,2678190544,2180768236
Namibia,"Foreign direct investment, net inflows (BoP, current US$)",287528974.4,803600584.6,1041555413,777073646.4,445582247.9,838879062.7,358727049.6,280476975,234372724.5,-176478261.6
Niger,"Foreign direct investment, net inflows (BoP, current US$)",796636157.9,1067186136,841227436.9,719338470.5,822967023.3,529476871.1,301332480.6,338710710.1,466042273,717147639.4
Nigeria,"Foreign direct investment, net inflows (BoP, current US$)",6026253091,8841062051,7069908428,5562857987,4693828632,3064168904,3453258408,2412974916,775247400,2305099812
Rwanda,"Foreign direct investment, net inflows (BoP, current US$)",216192556.8,112127535.8,269615550.4,233763793.6,313997162.8,162083821,279747327.6,274025990.7,366192315.5,384461863.6
Sao Tome and Principe,"Foreign direct investment, net inflows (BoP, current US$)",50600000,32152348.55,22471527.03,12162344.82,26489982.13,27924059.14,23331087.12,34208489.03,23698321.49,24191799.51
Senegal,"Foreign direct investment, net inflows (BoP, current US$)",272092888.5,338661995.6,276159533,311366768.8,403098056.4,409166125.8,472409799.8,588292998,847841574.8,983338154
Seychelles,"Foreign direct investment, net inflows (BoP, current US$)",159795375,143240665.1,613208776.3,57289065.62,108355443.1,105893597.2,40854189.7,124465535.7,307664653.8,253880560.1
Sierra Leone,"Foreign direct investment, net inflows (BoP, current US$)",238404209.3,950477791.4,722447405.1,429664580.1,375089628.5,252435829.4,138509469.3,413724476.1,250446053.5,342447726.8
Somalia,"Foreign direct investment, net inflows (BoP, current US$)",112000000,102000000,107330000,258000000,261000000,303000000,330000000,369000000,408000000,447000000
South Africa,"Foreign direct investment, net inflows (BoP, current US$)",3693271715,4139289123,4626029122,8232518816,5791659020,1521139945,2215307020,2058579911,5569462350,5116098443
South Sudan,"Foreign direct investment, net inflows (BoP, current US$)",NA,NA,161000000,-793000000,1035825.73,150000,-7850000,1420000,60140000,-231840000
Sudan,"Foreign direct investment, net inflows (BoP, current US$)",2063730998,1734376994,2311460740,1687884179,1251280889,1728373403,1063767535,1065298481,1135787164,825354992.3
Tanzania,"Foreign direct investment, net inflows (BoP, current US$)",1813200000,1229361018,1799646137,2087261310,1416088065,1506024896,864040000,940523072.2,971576866,990626173.7
Togo,"Foreign direct investment, net inflows (BoP, current US$)",125064101.8,728710878.4,121511565.6,183599249,54020342.35,257860036.5,-46308331.62,88558699.5,-180972714.8,345697547
Uganda,"Foreign direct investment, net inflows (BoP, current US$)",543872727.3,894293858,1205388488,1096000000,1058564540,737652140.2,625704361.9,802704141,1055353353,1266026788
