Country Name,"Country Code","Series Name","Series Code",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,"AFG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-192022479.468454","-51036283.6112608","-65684511.343893","-47774027.0095906","-42994416.2107173","-166983554.911685","-79585268.7492387","-40273161.0002353","-80631404.0721353","2916492.92940283"
Albania,"ALB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1043511678.05772","-846616681.619182","-834803023.050095","-1225674342.47578","-1074294190.46156","-910256725.971608","-1037328978.03745","-1128922245.43328","-1208920405.82958","-1161056359.18128"
Algeria,"DZA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-2081136054.38595","-2037319357.9126","-1541844615.21892","-1963635049.70214","-1520777119.23079","638915215.34559","-1591723072.05371","-1238809875.76889","-619904539.936102","-1350051614.14718"
American Samoa,"ASM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Andorra,"AND","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Angola,"AGO","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","4567640566.41","5116413413.75765","2351103731.49811","8041583616.63461","-2770722210.78846","-10813085379.2657","452522618.92","8749300466.08991","6461790580.60511","1749052912.30147"
Antigua and Barbuda,"ATG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-96679207.7777778","-65160596.2962963","-129367138.888889","-134288999.62963","-39930998.375213","-99949131.3440363","-59449394.19469","-143915965.847293","-193261880.15952","-84261444.5870018"
Argentina,"ARG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-10367957946.0427","-9351930944.6815","-14269084338.7678","-8931688999.43165","-3144794108.85981","-10883760783.9318","-1473633407.02589","-10361231244.2599","-9990788246.04858","-5123845949.27597"
Armenia,"ARM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-501862328.992661","-434138222.389594","-473210732.062169","-315829524.319474","-377774323.990989","-155376061.98069","-263213931.739248","-221878286.340818","-259812449.696314","-233941144.982353"
Aruba,"ABW","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-184022346.368715","-485027932.960894","317486033.519553","-221951574.301676","-241753769.273743","39290644.1340782","-27970016.7350676","-79282922.0310637","-105550685.706589","134984404.01532"
Australia,"AUS","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-17142068311.1791","-57304251200.4141","-51785739222.1873","-55235185682.7657","-40637704363.7628","-38633221206.3589","-46077390957.7799","-38193755825.2727","-61049540324.4327","-29611086901.8493"
Austria,"AUT","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","7679700298.1241","15161341820.8401","13225677746.2252","10579892540.2257","-2587541536.35942","5836278366.23183","2023538039.8789","-3410590994.58348","1691653144.57875","6437095876.21754"
Azerbaijan,"AZE","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-331155000","-932582000","-812407000","-1141550000","-2443393000","-838252000","-1926065000","-303106351.9","357879000","927801000"
"Bahamas, The","BHS","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-871970000","-666621000","-526171000","-382252000","-251277428.82","-76075924.75","-390400036.41","-304587573.117333","-491404689.229667","-264596251.69575"
Bahrain,"BHR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","178271544.021768","112765957.446808","-1028723404.25532","-3196063829.78723","-1913031914.89362","3126063829.78723","-1123404255.31915","-289893617.021277","1403989361.70213","NA"
Bangladesh,"BGD","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1165816161.07858","-967290773.513049","-1295344530.46955","-2056085292.75007","-2497421015.99741","-2771250741.40178","-2292208318.36861","-1683653528.90722","-2402416194.24182","-1884983625.06933"
Barbados,"BRB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-101210228.225","100659085.815","-488140795.603146","-77793292.9439255","-821282678.45275","-366328937.704148","-463025654.165144","NA","NA","NA"
Belarus,"BLR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1342800000","-3876900000","-1308100000","-1983900000","-1788600000","-1545700000","-1124000000","-1208500000","-1371300000","-1277100000"
Belgium,"BEL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-58665007469.2642","-34518425846.1647","29684338021.7122","17271778736.2812","14787640970.4607","26844377439.2663","-22983198267.7324","31988685367.2031","5599920051.94142","-4722571349.54006"
Belize,"BLZ","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-95328799.7738034","-94715507.9517314","-193325682.261236","-91563206.3019041","-138362416.53291","-58649340.1251989","-31014601.3091005","-31574436.7250861","-121323274.418057","-91791684.7309233"
Benin,"BEN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-194907272.300878","-101574683.484698","-241215299.320068","-301753783.162605","-388459043.328908","-117056378.004949","-114409648.300058","-168995331.699235","-184303164.512403","-191058357.410862"
Bermuda,"BMU","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-236611007.849348","-78844721.3646545","192813471.506983","-4328580.31158239","123143745.411753","58627864.425454","168557638.692137","246547669.314198","-130444673.75","-42161389.5"
Bhutan,"BTN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-75274009.0283126","-31141614.8601365","-24380673.5733894","-20433631.0650379","-23534931.751976","-6450953.8497443","-11884162.3485119","16553759.9525494","-2649454.31118453","-13011377.2857268"
Bolivia,"BOL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-650803350.548348","-858666303.673604","-1059965390.78481","-1749612614.39791","-689679405.958478","-556430243.093449","-246499489.903112","-632781025.020884","-386834085.220415","264951155.795393"
Bosnia and Herzegovina,"BIH","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-362660381.874081","-476436501.691437","-332376367.374972","-227032907.49788","-534904935.992605","-288355804.376773","-309306445.243284","-408665669.373471","-582799039.288872","-315126886.034683"
Botswana,"BWA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-217483477.377689","-302916735.473587","-138128417.222638","17496214.021862","-403817441.879067","-195308867.002062","27171118.1530404","-261440939.247637","-203876266.432026","-113402014.692137"
Brazil,"BRA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-55626921872.6","-86360111204.54","-90485123670.43","-59567525424.58","-67107129352.1","-61604176364.71","-59601145882.35","-47544978339.99","-76138154756.03","-46354807251.47"
British Virgin Islands,"VGB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Brunei Darussalam,"BRN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-479520595.760504","-703751750.577839","-859107110.358658","-778412341.07849","-573906641.326341","-171289167.823995","150550827.310313","-467927550.316567","-516202620.629746","-373256767.246304"
Bulgaria,"BGR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1253650000","-1611440000","-1378130000","-1637500000","-211260000","-2098190000","-661410000","-1511540000","-885510000","-1392120000"
Burkina Faso,"BFA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-38187589.150915","-41472799.9899918","-256326266.355278","-432096421.40535","-287750664.958997","-217796773.033046","-340113213.36968","7696130.29241783","-200701558.745155","-146535904.034235"
