Country Name,Series Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,"Current account balance (BoP, current US$)",7505954235,13084636207,13841185161,8145070112,-3747517596,-10272841903,-3085195463,-632867147.9,7402606519,5137394880
Benin,"Current account balance (BoP, current US$)",-530854983.7,-516838833.5,-576935937.9,-673366862.3,-886093255.8,-679200532.3,-354241236,-531029511.4,-648780156.1,-580555691.7
Botswana,"Current account balance (BoP, current US$)",-744133493.8,-131913618.1,-820817535.5,646614169.1,1713317042,301219213.7,1202538243,927062719.5,116921483.4,-1396883005
Burkina Faso,"Current account balance (BoP, current US$)",-181624984.1,-160392828.5,-162293548.7,-1345544009,-998954284.1,-895400077.2,-780222104.3,-896284716.2,-664796659.4,-523837226.3
Burundi,"Current account balance (BoP, current US$)",-300982004.2,-283583270.3,-261157248.5,-258429277.2,-395077162,-373243823.1,-339695286.8,-373388923.3,-362644693.9,NA
Cabo Verde,"Current account balance (BoP, current US$)",-222769238.2,-304537748.9,-243559056.4,-107358950.8,-168960587.7,-50593257.5,-64135178.53,-139634461.9,-101706160.7,-7565567.151
Cameroon,"Current account balance (BoP, current US$)",-857140093.1,-749196879.8,-955933681,-1128087432,-1401974732,-1173691255,-1037444249,-949763043.4,-1409334284,-1695070703
Central African Republic,"Current account balance (BoP, current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,"Current account balance (BoP, current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,"Current account balance (BoP, current US$)",-39335660.75,-55499670.63,-41138657.38,NA,-43458200.05,-2477534.17,-44044054.74,-22971469.91,-33669717.25,-37401621.43
"Congo, Dem. Rep.","Current account balance (BoP, current US$)",-2173500000,-1280602281,-1260461518,-3108803236,-1722614687,-1483759412,-1504066909,-1241424116,-1672321587,-1693232061
"Congo, Rep.","Current account balance (BoP, current US$)",900330482.9,2070427333,2421397244,1936401764,678875098.9,-4628709578,-3593571061,NA,NA,NA
Cote d'Ivoire,"Current account balance (BoP, current US$)",464985734.7,2666211855,-320534296.1,-632903985.2,510714255.8,-201372902.1,-414272956.2,-1049091689,-2284501507,-1348827420
Equatorial Guinea,"Current account balance (BoP, current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,"Current account balance (BoP, current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,"Current account balance (BoP, current US$)",-388309494.7,-281718554.5,239938759.3,487018321,512086156.6,533323971,297421435.2,272798389.9,60731705.45,195651856.9
Ethiopia,"Current account balance (BoP, current US$)",-635273119.7,-1055616929,-3077984123,-3033415076,-5771532765,-7566576583,-7905485193,-5928627607,-4611293723,NA
Gabon,"Current account balance (BoP, current US$)",2453186896,2604448146,1977634349,1462632469,1112065881,140995975,NA,NA,NA,NA
"Gambia, The","Current account balance (BoP, current US$)",17499603.55,-108142561.9,-92782872.8,-97109176.63,-84557301.95,-99173808.7,-95603266.26,-110827141.7,-78645905.2,NA
Ghana,"Current account balance (BoP, current US$)",-2747340000,-3541315695,-4911713679,-5704034550,-3694575338,-2823640338,-2832047271,-2002640000,-2044594273,-1863971933
Guinea,"Current account balance (BoP, current US$)",-326890000,-1161380000,-1038620000,-1189770000,-981676723.9,-1020197641,-2744932548,519350000,-190470000,-314620000
Guinea-Bissau,"Current account balance (BoP, current US$)",-70790428.79,-14050574.52,-83241961.12,-52508821.22,6310286.495,20941855.29,10056270,3879055.917,-54134326.62,-127409979.2
Kenya,"Current account balance (BoP, current US$)",-2368666520,-3819265449,-4216125399,-4842121338,-6377902130,-4420779165,-4034814087,-5687486284,-5047669613,-5559231017
Lesotho,"Current account balance (BoP, current US$)",-158319246.9,-210838128.9,-377094095,-167685028.4,-122512645.7,-77639214.66,-172096336.2,-144930645.5,-59909792.54,-99923603.88
Liberia,"Current account balance (BoP, current US$)",-853418361.4,-1258598622,-1674844201,-1042787198,-642544587.9,171113280.7,-276040465.4,-565563643.6,-674092298.9,-653403371.8
Madagascar,"Current account balance (BoP, current US$)",-893306535,-777177676.5,-864105350.5,-808214219.1,-81289492.76,-255834414.7,44804653.58,-30119708.81,98048614.28,-330509080.3
Malawi,"Current account balance (BoP, current US$)",-969288544.3,-1136709794,-744667770.1,-1236186788,-1128536961,-1064422990,-1005613301,-1537430582,-1618122467,-1837411039
Mali,"Current account balance (BoP, current US$)",-1189940123,-656427725.5,-272666897,-374684774.4,-675835486.1,-697424418.8,-1015148560,-1209922735,-835846583.6,NA
Mauritania,"Current account balance (BoP, current US$)",NA,NA,-1226092286,-1261758969,-1473118227,-955946938.1,-706785516.3,-709000689.8,-972886440,-831106401.9
Mauritius,"Current account balance (BoP, current US$)",-1005773529,-1560299125,-827512079.1,-750275471.4,-690030757.3,-416984417.4,-491351517.4,-612227401.3,-555392977.6,-756265499.8
Mozambique,"Current account balance (BoP, current US$)",-1679440917,-3328861901,-6789977472,-6253446234,-5797145543,-5967850296,-3845999938,-2585545862,-4500762108,-3022347155
Namibia,"Current account balance (BoP, current US$)",-438555939.8,-838672355.1,-1099971078,-976649001.6,-1154654063,-1540010844,-1750509508,-547854752.8,-465629192.5,-215838429.4
Niger,"Current account balance (BoP, current US$)",-1137080688,-1432933622,-1021630309,-1150600188,-1306931079,-1486216431,-1181659914,-1274368826,-1625023612,-1572440250
Nigeria,"Current account balance (BoP, current US$)",13111276866,10668377374,17374274675,19048981238,906535877.2,-15438642534,5077217476,12689340193,6260574934,-14627014405
Rwanda,"Current account balance (BoP, current US$)",-399142437.7,-477010513.8,-741015960.7,-585105607.7,-934619500.8,-1083671486,-1330822365,-861510448.5,-978437757.8,-1253742221
Sao Tome and Principe,"Current account balance (BoP, current US$)",-87575752.58,-105761604.5,-98870179.65,-81260661.02,-103936467.6,-68693728.21,-61493955.3,-73144971.77,-75131185.11,-90025980.22
Senegal,"Current account balance (BoP, current US$)",-589477328.8,-1148183911,-1528004123,-1549868805,-1346796310,-944941214.6,-795648215.3,-1526269729,-2215256001,NA
Seychelles,"Current account balance (BoP, current US$)",-214390209.2,-301284994.9,-161313271,-158609330.7,-310403746.2,-256181312.9,-285588981.7,-295050294.8,-282949989.1,-271636873
Sierra Leone,"Current account balance (BoP, current US$)",-585297612.8,-1913506550,-1210212775,-737095481.8,-472729593.3,-1003078053,-363295427.3,-809110165.5,-761712554.1,-915430405.1
Somalia,"Current account balance (BoP, current US$)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,"Current account balance (BoP, current US$)",-5492240011,-9318829767,-20314943543,-21280021810,-17824025801,-14567849818,-8353383341,-8912928944,-13384035621,-10666816282
South Sudan,"Current account balance (BoP, current US$)",NA,NA,NA,NA,-790185244.8,-500190000,-215665300,281712000,-315550000,256860000
Sudan,"Current account balance (BoP, current US$)",-1725368702,-2652932020,-6259061245,-5822074153,-3545466635,-5460760074,-4213356633,-4611258528,-4678501890,-5215013936
Tanzania,"Current account balance (BoP, current US$)",-2210780020,-4380951348,-3764335915,-4987954732,-5061997449,-4477418358,-2739302454,-2127811780,-1897834240,-1301335734
Togo,"Current account balance (BoP, current US$)",-199902525.5,-302102822.7,-294119033.9,-568417939.7,-458469871.8,-461024604.6,-436626626.2,-96643295.47,-184851586.4,-55443572.95
Uganda,"Current account balance (BoP, current US$)",-1609773704,-2087253428,-1655592193,-1843069690,-2165987727,-1671266704,-833456191.3,-1487546203,-2302195985,-2332588662
Zambia,"Current account balance (BoP, current US$)",1525082952,1092799717,1371805759,-161482093,-387327907.9,-767651771,-953961606.2,-435005245,-342356590.8,140712285
Zimbabwe,"Current account balance (BoP, current US$)",-1443703079,-2431843954,-1835948579,-2525719286,-2405181923,-1678451261,-717965218.4,-307810928.1,NA,NA
