Country Name,"Country Code","Series Name","Series Code",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-2.579152","-2.50206","-2.418561","-2.519349","-2.411068","-2.571222","-2.671054","-2.801084","-2.763864","-2.655531"
Albania,"ALB","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.1914829","-0.2823794","-0.1436316","0.0919298","0.4859862","0.3461291","0.3446447","0.3784748","0.3705156","0.1111686"
Algeria,"DZA","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-1.259368","-1.360561","-1.325043","-1.202371","-1.190535","-1.09016","-1.097526","-0.9157991","-0.8361196","-1.044343"
American Samoa,"ASM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.9191467","0.9339902","0.9529908","0.9289858","1.080683","1.181357","1.193236","1.218863","1.216776","1.172189"
Andorra,"AND","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","1.278272","1.302488","1.290351","1.283926","1.286593","1.391288","1.413419","1.421869","1.417627","1.602202"
Angola,"AGO","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.2261823","-0.3692378","-0.3893225","-0.3912335","-0.333232","-0.5008978","-0.3158988","-0.380449","-0.3356918","-0.358525"
Anguilla,"AIA","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","1.373762","1.550928","1.47692","1.53398","1.164255","1.249272","1.315344","1.389452","1.287406","1.355694"
Antigua and Barbuda,"ATG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.9049994","0.9575883","0.9757881","0.9588634","0.9845507","1.004725","0.8786072","0.748045","0.8408569","0.9535552"
Argentina,"ARG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.0847979","0.1589937","0.1030405","0.0653143","-0.0051219","0.0147854","0.2046255","0.1695043","0.0108914","-0.0914442"
Armenia,"ARM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.0718553","-0.063869","0.154795","0.1103851","-0.2971358","-0.2523326","-0.6622638","-0.6207712","-0.4449081","-0.4134244"
Aruba,"ABW","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","1.100847","1.285738","1.263882","1.312226","1.164568","1.230921","1.284199","1.335038","1.356553","1.349796"
Australia,"AUS","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.8888599","0.9357101","0.9979972","1.031073","1.032192","0.8849798","1.047958","0.8960608","0.989604","0.9117457"
Austria,"AUT","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","1.152648","1.193522","1.340567","1.364101","1.2707","1.143079","0.9096388","1.046833","0.902334","0.9167479"
Azerbaijan,"AZE","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.2385469","-0.532136","-0.7157518","-0.4128599","-0.5599095","-0.7295656","-0.8038791","-0.7479199","-0.7067598","-0.6859124"
"Bahamas, The","BHS","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.9936922","1.103621","1.184026","1.134825","0.9564701","0.9074765","0.9754187","0.9895855","0.8628951","0.8162377"
Bahrain,"BHR","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.4934764","-0.9508419","-1.129955","-1.335418","-0.9074749","-1.07354","-0.7934257","-0.9615637","-0.8504526","-0.6273595"
Bangladesh,"BGD","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-1.425789","-1.404737","-1.379089","-1.627859","-0.8955632","-1.212018","-1.261937","-1.256081","-0.9956784","-0.9329753"
Barbados,"BRB","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","1.060637","1.24613","1.185966","1.266929","1.27792","1.135361","0.9766099","0.9668277","0.9134325","1.049227"
Belarus,"BLR","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.0949901","-0.087769","0.0686152","0.0059592","0.1797822","0.1100165","0.1422815","-0.0534834","0.3480572","0.3323891"
Belgium,"BEL","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.8106462","0.9545354","0.9235997","0.9400827","0.7012694","0.5870946","0.4413673","0.4281858","0.4023501","0.4737775"
Belize,"BLZ","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.0704277","0.1519089","0.1802576","0.1761893","0.0485831","0.0430976","0.0606221","0.0357257","0.0031797","0.0630389"
Benin,"BEN","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.2612601","0.3183564","0.3643676","0.3011894","0.0271398","-0.013514","-0.0020272","0.0308955","-0.1411756","-0.412668"
Bermuda,"BMU","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.9118381","0.9641221","0.9802537","0.9703031","0.9138978","0.983049","0.9996701","1.001911","1.152475","1.065074"
Bhutan,"BTN","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.7422217","0.8264953","0.7763095","0.7846249","1.068039","0.974715","1.123297","1.11713","1.093906","1.082096"
Bolivia,"BOL","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.4154072","-0.4171265","-0.4580681","-0.3285934","-0.3331121","-0.2684872","-0.2488664","-0.2780288","-0.2871185","-0.7300857"
Bosnia and Herzegovina,"BIH","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.6937302","-0.8197949","-0.5381487","-0.4049441","-0.019179","-0.402437","-0.3978388","-0.3482373","-0.3955997","-0.4187543"
Botswana,"BWA","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.9912098","1.064447","1.104041","1.102347","1.011847","1.042092","0.99456","1.022508","0.9709879","1.111055"
Brazil,"BRA","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.0134759","-0.1325754","0.0459616","-0.2585533","-0.0702901","-0.3314581","-0.3772054","-0.4738646","-0.4404235","-0.7137882"
Brunei Darussalam,"BRN","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","1.277547","1.085194","0.9093272","1.074022","1.261507","1.242662","1.154172","1.160305","1.24136","1.108799"
Bulgaria,"BGR","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.3600911","0.3017503","0.379834","0.1707104","0.0785409","0.0173222","0.0773333","0.3320499","0.4562779","0.578861"
Burkina Faso,"BFA","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.1176371","-0.5553815","-0.5731292","-0.7633901","-0.7871286","-0.6111074","-0.8673759","-0.9269773","-1.059287","-1.302387"
Burundi,"BDI","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-1.625959","-1.8072","-1.704738","-1.350278","-0.7844071","-1.939511","-1.970721","-2.007869","-1.571772","-1.615159"
Cabo Verde,"CPV","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.8409728","0.7226052","0.8090864","0.7779999","0.3507791","0.8678104","0.8862156","0.7746384","0.8458232","0.8739426"
Cambodia,"KHM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.5009844","-0.3044197","-0.1035772","-0.1364361","0.0231748","0.0619423","0.2110379","0.091222","0.1030418","-0.0894939"
Cameroon,"CMR","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.7369714","-0.661688","-0.5885174","-0.5322373","-1.059252","-0.9896075","-1.062137","-1.095843","-1.404168","-1.559217"
Canada,"CAN","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.9363182","1.077176","1.113016","1.061422","1.175504","1.274698","1.256059","1.102063","0.9791259","1.016768"
Cayman Islands,"CYM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","1.149638","1.336361","0.9593844","1.017615","1.046347","1.153418","1.168496","1.190801","1.138934","1.433294"
Central African Republic,"CAF","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-2.020625","-1.789389","-1.852923","-2.154897","-2.699193","-1.904765","-1.789267","-2.006543","-2.183386","-2.138272"
Chad,"TCD","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-1.524828","-1.318085","-1.044117","-1.089472","-1.568883","-0.9745526","-1.302365","-1.287528","-1.483272","-1.343743"
Chile,"CHL","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.6796045","0.4525534","0.3311021","0.3637425","0.4475169","0.4334392","0.4131105","0.4171355","0.4273602","0.0079297"
China,"CHN","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.6570607","-0.6020548","-0.5387821","-0.5437899","-0.522584","-0.5502946","-0.499395","-0.2310181","-0.3000233","-0.2566892"
Colombia,"COL","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-1.537185","-1.284656","-1.40181","-1.291972","-1.114594","-1.069147","-0.8824593","-0.7727076","-0.7969317","-0.9495016"
Comoros,"COM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.5629393","-0.5527361","-0.452308","-0.2569292","-0.1869102","-0.2327915","0.0357599","0.0361181","-0.3462803","-0.1546992"
"Congo, Dem. Rep.","COD","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-2.196742","-2.212989","-2.085893","-2.192191","-2.167921","-2.150854","-2.234622","-2.302249","-2.105781","-1.593899"
"Congo, Rep.","COG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-0.3164158","-0.3543004","-0.4896899","-0.4750501","-0.3592916","-0.526366","-0.5192695","-0.531724","-0.3484042","-0.8969635"
Cook Islands,"COK","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","1.322361","NA","NA","NA","NA","NA","NA","NA","0.8568977","1.064757"
Costa Rica,"CRI","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.6915372","0.508276","0.6384025","0.677918","0.5774182","0.6820255","0.6614283","0.6088256","0.4694642","0.4522929"
Cote d'Ivoire,"CIV","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","-1.583894","-1.405808","-1.263461","-1.048724","-1.037161","-0.8325459","-0.9075593","-1.090237","-0.8986894","-1.026046"
Croatia,"HRV","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","0.6084636","0.6237471","0.6068915","0.6426679","0.6191124","0.590728","0.6637695","0.6920319","0.8028065","0.6946999"
